ID	Dream	cond_broad	Interactions	POS_int	NEG_int	NEUT_int	sos_int_prev_day	Known	Role	Strangers	Known_family	Known_Spouse	Known_Friends
25	98	I	1	0	0	0	1	1	0	0	0	0	1
10	103	I	8	0	1	4	1	2	8	5	0	0	2
10	105	I	3	1	0	0	1	1	0	2	0	0	1
10	106	I	1	1	0	0	1	0	0	1	0	0	0
10	107	I	3	1	1	0	1	0	3	1	0	0	0
10	108	I	3	1	0	1	1	0	0	3	0	0	0
10	109	I	4	0	0	4	1	1	0	5	0	1	0
24	112	I	7	1	1	4	1	0	4	6	0	0	0
24	113	I	17	2	1	9	1	18	0	7	11	0	7
24	114	I	5	2	0	2	1	5	0	0	5	0	0
22	120	I	14	2	1	8	1	14	0	4	9	0	5
22	122	I	0	0	0	0	1	0	0	0	0	0	0
26	128	I	9	0	3	5	1	0	5	10	0	0	0
26	129	I	4	0	1	0	1	0	0	4	0	0	0
26	130	I	2	0	0	2	1	0	0	3	0	0	0
26	131	I	7	1	0	5	1	0	0	6	0	0	0
26	132	I	19	5	4	7	1	2	0	22	0	0	2
26	133	I	3	0	0	2	1	3	0	0	0	0	3
2	135	I	7	1	1	3	1	8	0	2	2	0	6
2	136	I	5	1	0	2	1	8	0	0	3	0	5
2	137	I	3	1	0	2	1	3	0	0	0	0	3
2	138	I	4	0	0	0	1	4	0	0	1	0	3
2	139	I	1	0	0	0	1	0	0	1	0	0	0
2	140	I	5	2	0	1	1	6	0	0	2	0	4
20	145	I	17	3	6	4	1	5	0	15	2	3	0
20	146	I	13	4	0	7	1	10	2	1	0	4	6
20	147	I	6	0	1	5	1	8	0	0	7	0	1
25	154	I	4	1	0	3	1	4	0	3	0	0	4
25	156	I	2	1	1	0	1	0	2	0	0	0	0
25	157	I	16	2	1	8	1	21	3	1	0	4	17
22	158	I	0	0	0	0	1	0	0	0	0	0	0
22	160	I	3	0	1	1	1	3	0	0	3	0	0
22	161	I	0	0	0	0	1	0	0	0	0	0	0
25	163	I	8	2	0	3	1	3	0	9	3	0	0
25	164	I	5	1	2	2	1	4	0	1	0	0	4
25	165	I	3	1	0	1	1	0	0	5	0	0	0
26	182	I	3	1	0	1	1	0	0	3	0	0	0
26	183	I	6	0	2	3	1	6	0	0	6	0	0
19	234	I	3	0	1	1	1	0	3	2	0	0	0
19	235	I	8	2	0	4	1	8	0	2	2	0	6
19	236	I	8	0	2	6	1	7	0	0	0	0	7
19	237	I	4	0	1	2	1	2	1	1	0	0	2
19	239	I	2	0	0	1	1	0	0	3	0	0	0
19	240	I	4	1	0	2	1	0	0	4	0	0	0
19	241	I	2	0	0	1	1	0	0	2	0	0	0
19	242	I	6	0	2	2	1	3	2	2	0	3	0
19	243	I	7	0	0	4	1	6	3	2	0	0	6
19	244	I	2	1	0	1	2	1	2	1	0	0	1
19	245	I	7	1	1	5	2	6	1	1	0	6	0
19	246	I	2	0	0	1	2	2	0	0	0	0	2
19	247	I	3	0	0	1	2	1	0	2	0	0	1
21	252	I	11	1	1	6	1	6	0	7	6	0	0
21	253	I	7	0	1	4	1	8	1	1	0	0	8
21	254	I	8	1	0	4	1	1	0	8	1	0	0
21	255	I	15	5	0	6	1	21	0	3	7	0	14
21	256	I	2	0	0	0	1	1	1	2	0	0	1
3	293	I	1	0	0	0	1	0	0	1	0	0	0
3	294	I	7	2	0	4	1	6	2	0	6	0	0
3	295	I	3	0	2	0	1	2	0	1	0	0	2
3	296	I	7	1	0	4	1	5	0	6	0	0	5
27	303	I	7	1	0	5	1	7	1	0	2	0	5
27	305	I	1	0	0	1	1	1	0	0	0	0	1
5	307	I	17	5	2	8	1	5	0	11	5	0	0
5	308	I	3	0	0	3	1	2	3	0	2	0	0
5	309	I	4	1	0	3	1	1	3	1	1	0	0
5	310	I	3	0	0	3	1	1	0	2	0	0	1
5	311	I	3	0	0	2	1	3	0	0	3	0	0
27	312	I	1	0	0	1	1	1	0	0	1	0	0
27	313	I	1	1	0	0	1	1	0	0	1	0	0
27	314	I	1	0	0	1	1	1	0	0	1	0	0
27	315	I	1	1	0	0	1	1	0	0	0	0	1
27	317	I	4	0	1	1	1	2	0	3	0	0	2
27	318	I	1	0	1	0	1	1	0	0	0	0	1
28	322	I	1	0	0	1	3	0	0	1	0	0	0
28	323	I	1	0	0	1	3	0	0	1	0	0	0
28	324	I	1	0	0	1	3	0	0	1	0	0	0
28	325	I	3	0	0	2	2	0	0	3	0	0	0
11	329	I	1	0	0	1	1	0	0	1	0	0	0
11	331	I	3	0	0	1	1	1	0	2	1	0	0
3	337	I	2	0	0	1	1	2	0	0	2	0	0
3	338	I	2	0	0	2	1	0	2	0	0	0	0
3	339	I	12	5	0	5	1	1	1	10	0	0	1
3	340	I	6	0	0	5	1	2	3	4	0	0	2
29	360	I	2	1	0	1	1	3	0	0	0	0	3
7	383	I	1	0	0	0	1	0	0	1	0	0	0
7	385	I	2	0	0	1	1	2	0	0	0	0	2
7	386	I	8	0	2	5	1	2	2	5	0	0	2
7	387	I	4	0	0	3	1	0	2	3	0	0	0
7	388	I	4	2	0	1	1	2	0	2	1	0	1
